short,географическое распростонение,"Длина
",Ширина,leaf_ind,Площадь,curvtop,curvbasis,Длина контура,circularity,pwid,BIO 1,BIO 2,BIO3,BIO 4,BIO 5,BIO 6,BIO 7,BIO 8,BIO 9,BIO 10,BIO 11,BIO 12,BIO 13,BIO 14,BIO 15,BIO 16,BIO 17,BIO 18,BIO 19
VLAD,континентальное,"4,3713","1,6257","0,3719","4,6576","12,9337","2,2837","9,5606","7,0586","-0,0434","4,63","8,96","2,1","1138,61","24,21","-17,53","41,74","18,29","-11,02","18,29","-11,02","702,44","145,55","7,68","75,34","366,64","33,42","366,05","33,42"
VLAD,континентальное,"3,9596","1,846","0,4662","4,9921","4,2243","4,9939","9,069","3,9091","0,0138","4,63","8,96","2,1","1138,61","24,21","-17,53","41,74","18,29","-11,02","18,29","-11,02","702,44","145,55","7,68","75,34","366,64","33,42","366,05","33,42"
VLAD,континентальное,"4,5807","1,8367","0,401","5,6236","5,0274","6,0648","10,151","5,7567","0,0157","4,63","8,96","2,1","1138,61","24,21","-17,53","41,74","18,29","-11,02","18,29","-11,02","702,44","145,55","7,68","75,34","366,64","33,42","366,05","33,42"
anuch,континентальное,"2,8652","1,2162","0,4245","2,3818","5,512","9,2484","6,4475","4,8865","-0,0027","3,51","7,89","1,98","1084,39","22,17","-17,34","39,51","16,69","-11,41","16,69","-11,41","794,06","153,7","14,46","66,56","389,09","53,27","389,09","53,27"
anuch,континентальное,"2,5198","1,2222","0,485","2,125","9,2635","4,4232","5,827","3,4118","-0,0436","3,51","7,89","1,98","1084,39","22,17","-17,34","39,51","16,69","-11,41","16,69","-11,41","794,06","153,7","14,46","66,56","389,09","53,27","389,09","53,27"
anuch,континентальное,"1,7931","1,0693","0,5963","1,3563","4,2286","6,4715","4,4229","1,8571","-0,0133","3,51","7,89","1,98","1084,39","22,17","-17,34","39,51","16,69","-11,41","16,69","-11,41","794,06","153,7","14,46","66,56","389,09","53,27","389,09","53,27"
anuch,континентальное,"2,785","1,2197","0,438","2,352","6,6894","6,486","6,3095","4,3596","-0,0382","3,51","7,89","1,98","1084,39","22,17","-17,34","39,51","16,69","-11,41","16,69","-11,41","794,06","153,7","14,46","66,56","389,09","53,27","389,09","53,27"
anuch,континентальное,"3,0522","1,1441","0,3749","2,5672","5,0157","4,8538","6,8106","5,5018","-0,0364","3,51","7,89","1,98","1084,39","22,17","-17,34","39,51","16,69","-11,41","16,69","-11,41","794,06","153,7","14,46","66,56","389,09","53,27","389,09","53,27"
anuch,континентальное,"2,5942","1,1013","0,4245","1,998","7,2079","1,5517","5,8404","4,5057","-0,0604","3,51","7,89","1,98","1084,39","22,17","-17,34","39,51","16,69","-11,41","16,69","-11,41","794,06","153,7","14,46","66,56","389,09","53,27","389,09","53,27"
anuch,континентальное,"1,9845","1,1351","0,572","1,6613","2,5745","1,2606","4,8807","1,7728","0,0073","3,51","7,89","1,98","1084,39","22,17","-17,34","39,51","16,69","-11,41","16,69","-11,41","794,06","153,7","14,46","66,56","389,09","53,27","389,09","53,27"
anuch,континентальное,"3,6068","1,3132","0,3641","3,3323","4,6865","1,5244","7,9368","6,3372","-0,0015","3,51","7,89","1,98","1084,39","22,17","-17,34","39,51","16,69","-11,41","16,69","-11,41","794,06","153,7","14,46","66,56","389,09","53,27","389,09","53,27"
anuch,континентальное,"3,5675","1,1067","0,3102","2,8132","12,0964","5,8552","7,733","8,6902","-0,0134","3,51","7,89","1,98","1084,39","22,17","-17,34","39,51","16,69","-11,41","16,69","-11,41","794,06","153,7","14,46","66,56","389,09","53,27","389,09","53,27"
anuch,континентальное,"3,3332","1,1962","0,3589","2,8333","2,5866","0,9951","7,3225","6,3582","-0,051","3,51","7,89","1,98","1084,39","22,17","-17,34","39,51","16,69","-11,41","16,69","-11,41","794,06","153,7","14,46","66,56","389,09","53,27","389,09","53,27"
anuch,континентальное,"3,9432","1,4842","0,3764","4,1787","2,9577","4,9846","8,7617","5,8049","-0,0178","3,51","7,89","1,98","1084,39","22,17","-17,34","39,51","16,69","-11,41","16,69","-11,41","794,06","153,7","14,46","66,56","389,09","53,27","389,09","53,27"
anuch,континентальное,"2,8192","1,0537","0,3738","2,1612","3,6143","10,114","6,3436","6,0532","0,0546","3,51","7,89","1,98","1084,39","22,17","-17,34","39,51","16,69","-11,41","16,69","-11,41","794,06","153,7","14,46","66,56","389,09","53,27","389,09","53,27"
anuch,континентальное,"3,1773","1,1676","0,3675","2,3575","13,9473","6,6241","6,9334","7,8242","0,0023","3,51","7,89","1,98","1084,39","22,17","-17,34","39,51","16,69","-11,41","16,69","-11,41","794,06","153,7","14,46","66,56","389,09","53,27","389,09","53,27"
anuch,континентальное,"3,5532","1,1692","0,3291","2,9097","3,8006","8,8872","7,7442","8,0452","-0,0038","3,51","7,89","1,98","1084,39","22,17","-17,34","39,51","16,69","-11,41","16,69","-11,41","794,06","153,7","14,46","66,56","389,09","53,27","389,09","53,27"
anuch,континентальное,"3,7686","1,2959","0,3439","3,4042","10,6787","5,1854","8,2082","7,2252","0,0344","3,51","7,89","1,98","1084,39","22,17","-17,34","39,51","16,69","-11,41","16,69","-11,41","794,06","153,7","14,46","66,56","389,09","53,27","389,09","53,27"
anuch,континентальное,"3,3825","1,2235","0,3617","2,8415","3,1424","4,7477","7,4589","7,0131","-0,0376","3,51","7,89","1,98","1084,39","22,17","-17,34","39,51","16,69","-11,41","16,69","-11,41","794,06","153,7","14,46","66,56","389,09","53,27","389,09","53,27"
anuch,континентальное,"4,348","1,6693","0,3839","5,1575","3,1556","3,2803","9,6932","5,6514","0,0051","3,51","7,89","1,98","1084,39","22,17","-17,34","39,51","16,69","-11,41","16,69","-11,41","794,06","153,7","14,46","66,56","389,09","53,27","389,09","53,27"
anuch,континентальное,"3,1738","1,3141","0,414","2,9482","3,6029","2,1042","7,1607","4,8256","0,0165","3,51","7,89","1,98","1084,39","22,17","-17,34","39,51","16,69","-11,41","16,69","-11,41","794,06","153,7","14,46","66,56","389,09","53,27","389,09","53,27"
anuch,континентальное,"4,0303","1,7397","0,4316","4,6628","8,7062","3,3202","9,0111","4,8479","-0,0214","3,51","7,89","1,98","1084,39","22,17","-17,34","39,51","16,69","-11,41","16,69","-11,41","794,06","153,7","14,46","66,56","389,09","53,27","389,09","53,27"
anuch,континентальное,"3,711","1,462","0,394","3,725","6,6072","7,9369","8,234","5,6347","0,0065","3,51","7,89","1,98","1084,39","22,17","-17,34","39,51","16,69","-11,41","16,69","-11,41","794,06","153,7","14,46","66,56","389,09","53,27","389,09","53,27"
anuch,континентальное,"2,9826","1,2462","0,4178","2,6891","2,3603","4,3029","6,8126","4,6926","0,1004","3,51","7,89","1,98","1084,39","22,17","-17,34","39,51","16,69","-11,41","16,69","-11,41","794,06","153,7","14,46","66,56","389,09","53,27","389,09","53,27"
anuch,континентальное,"3,5749","1,4157","0,396","3,5218","3,1066","4,3304","7,9572","5,4125","-0,0298","3,51","7,89","1,98","1084,39","22,17","-17,34","39,51","16,69","-11,41","16,69","-11,41","794,06","153,7","14,46","66,56","389,09","53,27","389,09","53,27"
anuch,континентальное,"3,2748","1,1788","0,3599","2,5905","2,4985","3,801","7,1814","7,342","-0,0993","3,51","7,89","1,98","1084,39","22,17","-17,34","39,51","16,69","-11,41","16,69","-11,41","794,06","153,7","14,46","66,56","389,09","53,27","389,09","53,27"
anuch,континентальное,"4,2192","1,6613","0,3938","5,0246","6,0207","4,2415","9,483","5,3311","0,0486","3,51","7,89","1,98","1084,39","22,17","-17,34","39,51","16,69","-11,41","16,69","-11,41","794,06","153,7","14,46","66,56","389,09","53,27","389,09","53,27"
anuch,континентальное,"2,8006","1,1122","0,3971","2,1707","6,6615","5,5699","6,2264","5,293","-0,0485","3,51","7,89","1,98","1084,39","22,17","-17,34","39,51","16,69","-11,41","16,69","-11,41","794,06","153,7","14,46","66,56","389,09","53,27","389,09","53,27"
anuch,континентальное,"2,6024","1,3408","0,5152","2,4378","4,0295","0,606","6,1489","2,9433","-0,0276","3,51","7,89","1,98","1084,39","22,17","-17,34","39,51","16,69","-11,41","16,69","-11,41","794,06","153,7","14,46","66,56","389,09","53,27","389,09","53,27"
anuch,континентальное,"3,1491","1,5408","0,4893","3,4284","3,6286","8,1961","7,3334","3,1197","0,0494","3,51","7,89","1,98","1084,39","22,17","-17,34","39,51","16,69","-11,41","16,69","-11,41","794,06","153,7","14,46","66,56","389,09","53,27","389,09","53,27"
anuch,континентальное,"2,8376","1,1349","0,4","2,2249","9,6029","4,4777","6,3505","5,5595","-0,0347","3,51","7,89","1,98","1084,39","22,17","-17,34","39,51","16,69","-11,41","16,69","-11,41","794,06","153,7","14,46","66,56","389,09","53,27","389,09","53,27"
anuch,континентальное,"3,4789","1,2278","0,3529","2,9531","6,6977","3,8876","7,6509","7,2556","-0,0746","3,51","7,89","1,98","1084,39","22,17","-17,34","39,51","16,69","-11,41","16,69","-11,41","794,06","153,7","14,46","66,56","389,09","53,27","389,09","53,27"
anuch,континентальное,"3,7181","1,1918","0,3206","3,1603","4,4148","4,8523","8,068","8,0304","0,0397","3,51","7,89","1,98","1084,39","22,17","-17,34","39,51","16,69","-11,41","16,69","-11,41","794,06","153,7","14,46","66,56","389,09","53,27","389,09","53,27"
anuch,континентальное,"2,9127","1,0913","0,3747","2,1458","3,3761","5,7914","6,3952","6,4929","0,034","3,51","7,89","1,98","1084,39","22,17","-17,34","39,51","16,69","-11,41","16,69","-11,41","794,06","153,7","14,46","66,56","389,09","53,27","389,09","53,27"
anuch,континентальное,"3,3179","1,1045","0,3329","2,5214","3,7454","4,1817","7,2093","8,0467","-0,0351","3,51","7,89","1,98","1084,39","22,17","-17,34","39,51","16,69","-11,41","16,69","-11,41","794,06","153,7","14,46","66,56","389,09","53,27","389,09","53,27"
anuch,континентальное,"3,3834","1,132","0,3346","2,5811","5,9299","8,8561","7,3629","8,437","0,0246","3,51","7,89","1,98","1084,39","22,17","-17,34","39,51","16,69","-11,41","16,69","-11,41","794,06","153,7","14,46","66,56","389,09","53,27","389,09","53,27"
anuch,континентальное,"2,4356","0,9406","0,3862","1,6996","5,5618","2,2045","5,4907","5,1717","-0,0183","3,51","7,89","1,98","1084,39","22,17","-17,34","39,51","16,69","-11,41","16,69","-11,41","794,06","153,7","14,46","66,56","389,09","53,27","389,09","53,27"
anuch,континентальное,"2,4405","1,0602","0,4344","1,8581","2,6814","6,222","5,5688","4,1235","0,0075","3,51","7,89","1,98","1084,39","22,17","-17,34","39,51","16,69","-11,41","16,69","-11,41","794,06","153,7","14,46","66,56","389,09","53,27","389,09","53,27"
anuch,континентальное,"2,2662","0,7795","0,344","1,3079","4,6872","9,4606","5,0074","6,6045","0,0178","3,51","7,89","1,98","1084,39","22,17","-17,34","39,51","16,69","-11,41","16,69","-11,41","794,06","153,7","14,46","66,56","389,09","53,27","389,09","53,27"
anuch,континентальное,"2,5215","1,0643","0,4221","1,9357","12,7369","3,1515","5,7574","4,5581","-0,0205","3,51","7,89","1,98","1084,39","22,17","-17,34","39,51","16,69","-11,41","16,69","-11,41","794,06","153,7","14,46","66,56","389,09","53,27","389,09","53,27"
anuch,континентальное,"3,7393","1,4566","0,3895","3,9116","4,2361","2,918","8,3709","5,3476","0,0116","3,51","7,89","1,98","1084,39","22,17","-17,34","39,51","16,69","-11,41","16,69","-11,41","794,06","153,7","14,46","66,56","389,09","53,27","389,09","53,27"
anuch,континентальное,"2,8377","1,1428","0,4027","2,3258","8,4467","3,9895","6,3995","5,0419","0,0585","3,51","7,89","1,98","1084,39","22,17","-17,34","39,51","16,69","-11,41","16,69","-11,41","794,06","153,7","14,46","66,56","389,09","53,27","389,09","53,27"
anuch,континентальное,"2,6881","1,0551","0,3925","2,0423","5,6195","3,1418","6,0664","5,4527","0,0423","3,51","7,89","1,98","1084,39","22,17","-17,34","39,51","16,69","-11,41","16,69","-11,41","794,06","153,7","14,46","66,56","389,09","53,27","389,09","53,27"
anuch,континентальное,"3,5235","1,3615","0,3864","3,3704","2,5483","4,261","7,8547","5,7392","0,0222","3,51","7,89","1,98","1084,39","22,17","-17,34","39,51","16,69","-11,41","16,69","-11,41","794,06","153,7","14,46","66,56","389,09","53,27","389,09","53,27"
anuch,континентальное,"3,0142","1,2216","0,4053","2,6314","2,2156","4,7556","6,795","4,9805","-0,1116","3,51","7,89","1,98","1084,39","22,17","-17,34","39,51","16,69","-11,41","16,69","-11,41","794,06","153,7","14,46","66,56","389,09","53,27","389,09","53,27"
anuch,континентальное,"2,8835","1,0043","0,3483","2,093","4,8298","10,468","6,3792","6,8763","0,0263","3,51","7,89","1,98","1084,39","22,17","-17,34","39,51","16,69","-11,41","16,69","-11,41","794,06","153,7","14,46","66,56","389,09","53,27","389,09","53,27"
anuch,континентальное,"2,5841","0,9859","0,3815","1,855","4,5436","7,4731","5,8149","5,6614","0,0646","3,51","7,89","1,98","1084,39","22,17","-17,34","39,51","16,69","-11,41","16,69","-11,41","794,06","153,7","14,46","66,56","389,09","53,27","389,09","53,27"
hasan_S,континентальное,"4,5968","1,9583","0,426","6,5093","1,4285","2,8671","10,4862","4,3265","0,0612","4,7","8,07",2,"1079,77","23,4","-16,1","39,5","17,83","-10,16","17,83","-10,16","747,88","139,92","16,5","62,35","352,04","58,08","352,04","58,08"
hasan_S,континентальное,"4,1878","2,0096","0,4799","6,0378","8,224","1,0336","9,7674","3,2344","-0,0672","4,7","8,07",2,"1079,77","23,4","-16,1","39,5","17,83","-10,16","17,83","-10,16","747,88","139,92","16,5","62,35","352,04","58,08","352,04","58,08"
hasan_S,континентальное,"4,3002","1,825","0,4244","5,5695","4,6483","10,9358","9,7305","4,4341","-0,0092","4,7","8,07",2,"1079,77","23,4","-16,1","39,5","17,83","-10,16","17,83","-10,16","747,88","139,92","16,5","62,35","352,04","58,08","352,04","58,08"
hasan_S,континентальное,"5,6002","2,2606","0,4037","8,7141","9,033","1,611","12,4851","5,3216","-0,0352","4,7","8,07",2,"1079,77","23,4","-16,1","39,5","17,83","-10,16","17,83","-10,16","747,88","139,92","16,5","62,35","352,04","58,08","352,04","58,08"
hasan_S,континентальное,"5,0349","2,3619","0,4691","7,9514","6,2123","4,1794","11,4756","3,9954","-0,0464","4,7","8,07",2,"1079,77","23,4","-16,1","39,5","17,83","-10,16","17,83","-10,16","747,88","139,92","16,5","62,35","352,04","58,08","352,04","58,08"
hasan_S,континентальное,"2,7473","1,6545","0,6023","3,3354","2,1658","4,492","6,8588","1,5377","0,0315","4,7","8,07",2,"1079,77","23,4","-16,1","39,5","17,83","-10,16","17,83","-10,16","747,88","139,92","16,5","62,35","352,04","58,08","352,04","58,08"
hasan_S,континентальное,"3,3578","1,6971","0,5054","3,9872","3,3109","10,1233","7,8601","2,9285","-0,0141","4,7","8,07",2,"1079,77","23,4","-16,1","39,5","17,83","-10,16","17,83","-10,16","747,88","139,92","16,5","62,35","352,04","58,08","352,04","58,08"
hasan_S,континентальное,"3,2437","1,6078","0,4957","3,5808","4,6676","5,3164","7,5569","3,3818","0,0452","4,7","8,07",2,"1079,77","23,4","-16,1","39,5","17,83","-10,16","17,83","-10,16","747,88","139,92","16,5","62,35","352,04","58,08","352,04","58,08"
hasan_S,континентальное,"3,1371","1,6491","0,5257","3,6397","2,9234","1,0069","7,4252","2,5815","-0,0606","4,7","8,07",2,"1079,77","23,4","-16,1","39,5","17,83","-10,16","17,83","-10,16","747,88","139,92","16,5","62,35","352,04","58,08","352,04","58,08"
hasan_S,континентальное,"2,2279","1,2303","0,5522","1,9592","3,7128","2,626","5,3728","2,168","0,0109","4,7","8,07",2,"1079,77","23,4","-16,1","39,5","17,83","-10,16","17,83","-10,16","747,88","139,92","16,5","62,35","352,04","58,08","352,04","58,08"
hasan_S,континентальное,"2,949","1,2324","0,4179","2,3695","12,3245","8,9779","6,5567","5,5765","0,0508","4,7","8,07",2,"1079,77","23,4","-16,1","39,5","17,83","-10,16","17,83","-10,16","747,88","139,92","16,5","62,35","352,04","58,08","352,04","58,08"
hasan_S,континентальное,"1,9722","0,872","0,4421","1,152","3,7042","6,9986","4,4586","4,6901","0,0201","4,7","8,07",2,"1079,77","23,4","-16,1","39,5","17,83","-10,16","17,83","-10,16","747,88","139,92","16,5","62,35","352,04","58,08","352,04","58,08"
hasan_S,континентальное,"3,3602","1,4355","0,4272","3,2202","4,2132","5,8667","7,5377","5,0776","-0,0165","4,7","8,07",2,"1079,77","23,4","-16,1","39,5","17,83","-10,16","17,83","-10,16","747,88","139,92","16,5","62,35","352,04","58,08","352,04","58,08"
hasan_S,континентальное,"4,4007","1,958","0,4449","6,102","3,8765","2,8218","10,0555","4,0039","0,0128","4,7","8,07",2,"1079,77","23,4","-16,1","39,5","17,83","-10,16","17,83","-10,16","747,88","139,92","16,5","62,35","352,04","58,08","352,04","58,08"
hasan_S,континентальное,"4,9678","2,0051","0,4036","7,3214","2,5284","1,8774","11,2926","4,8514","0,0001","4,7","8,07",2,"1079,77","23,4","-16,1","39,5","17,83","-10,16","17,83","-10,16","747,88","139,92","16,5","62,35","352,04","58,08","352,04","58,08"
hasan_S,континентальное,"4,1347","1,6907","0,4089","5,0451","1,7133","4,0454","9,374","4,851","-0,012","4,7","8,07",2,"1079,77","23,4","-16,1","39,5","17,83","-10,16","17,83","-10,16","747,88","139,92","16,5","62,35","352,04","58,08","352,04","58,08"
hasan_S,континентальное,"3,6119","1,6937","0,4689","4,1651","4,5259","3,253","8,251","3,7787","-0,0295","4,7","8,07",2,"1079,77","23,4","-16,1","39,5","17,83","-10,16","17,83","-10,16","747,88","139,92","16,5","62,35","352,04","58,08","352,04","58,08"
hasan_S,континентальное,"4,4037","2,3287","0,5288","7,0152","7,9409","6,9365","10,3535","2,714","-0,0199","4,7","8,07",2,"1079,77","23,4","-16,1","39,5","17,83","-10,16","17,83","-10,16","747,88","139,92","16,5","62,35","352,04","58,08","352,04","58,08"
hasan_S,континентальное,"2,2502","1,2102","0,5378","1,8363","5,4221","2,7974","5,2958","2,7061","0,0032","4,7","8,07",2,"1079,77","23,4","-16,1","39,5","17,83","-10,16","17,83","-10,16","747,88","139,92","16,5","62,35","352,04","58,08","352,04","58,08"
hasan_S,континентальное,"3,0295","1,523","0,5027","3,227","5,1155","2,4897","7,0721","2,9326","0,0411","4,7","8,07",2,"1079,77","23,4","-16,1","39,5","17,83","-10,16","17,83","-10,16","747,88","139,92","16,5","62,35","352,04","58,08","352,04","58,08"
hasan_S,континентальное,"2,701","1,5073","0,5581","3,0997","1,3541","2,3861","6,6606","1,7458","0,0119","4,7","8,07",2,"1079,77","23,4","-16,1","39,5","17,83","-10,16","17,83","-10,16","747,88","139,92","16,5","62,35","352,04","58,08","352,04","58,08"
hasan_S,континентальное,"2,8519","1,3463","0,4721","2,8832","2,0011","3,4183","6,7134","3,0652","0,0369","4,7","8,07",2,"1079,77","23,4","-16,1","39,5","17,83","-10,16","17,83","-10,16","747,88","139,92","16,5","62,35","352,04","58,08","352,04","58,08"
hasan_S,континентальное,"2,8688","1,4274","0,4976","3,0632","1,6633","4,2824","6,8715","2,8482","0,1303","4,7","8,07",2,"1079,77","23,4","-16,1","39,5","17,83","-10,16","17,83","-10,16","747,88","139,92","16,5","62,35","352,04","58,08","352,04","58,08"
hasan_S,континентальное,"2,8686","1,5196","0,5297","2,9836","5,0747","2,3531","6,7595","2,7476","-0,0106","4,7","8,07",2,"1079,77","23,4","-16,1","39,5","17,83","-10,16","17,83","-10,16","747,88","139,92","16,5","62,35","352,04","58,08","352,04","58,08"
hasan_S,континентальное,"2,7989","1,6403","0,5861","3,2582","7,2377","2,5799","6,842","1,8013","0,049","4,7","8,07",2,"1079,77","23,4","-16,1","39,5","17,83","-10,16","17,83","-10,16","747,88","139,92","16,5","62,35","352,04","58,08","352,04","58,08"
hasan_S,континентальное,"3,302","1,5409","0,4666","3,4945","6,6547","2,1071","7,5575","3,7784","-0,0174","4,7","8,07",2,"1079,77","23,4","-16,1","39,5","17,83","-10,16","17,83","-10,16","747,88","139,92","16,5","62,35","352,04","58,08","352,04","58,08"
hasan_S,континентальное,"3,1476","1,4328","0,4552","3,0948","3,027","4,603","7,1932","4,1529","0,0499","4,7","8,07",2,"1079,77","23,4","-16,1","39,5","17,83","-10,16","17,83","-10,16","747,88","139,92","16,5","62,35","352,04","58,08","352,04","58,08"
hasan_S,континентальное,"2,6917","1,481","0,5502","2,9096","3,9435","0,5444","6,6112","2,4556","0,0898","4,7","8,07",2,"1079,77","23,4","-16,1","39,5","17,83","-10,16","17,83","-10,16","747,88","139,92","16,5","62,35","352,04","58,08","352,04","58,08"
hasan_S,континентальное,"2,7753","1,1824","0,4261","2,3213","2,2851","10,006","6,2993","4,5286","-0,0445","4,7","8,07",2,"1079,77","23,4","-16,1","39,5","17,83","-10,16","17,83","-10,16","747,88","139,92","16,5","62,35","352,04","58,08","352,04","58,08"
hasan_S,континентальное,"2,8581","1,1734","0,4106","2,3357","4,7152","9,4703","6,4635","5,32","0,0725","4,7","8,07",2,"1079,77","23,4","-16,1","39,5","17,83","-10,16","17,83","-10,16","747,88","139,92","16,5","62,35","352,04","58,08","352,04","58,08"
hasan_S,континентальное,"3,4178","1,6062","0,47","3,7456","3,2767","4,1165","7,8377","3,834","-0,0358","4,7","8,07",2,"1079,77","23,4","-16,1","39,5","17,83","-10,16","17,83","-10,16","747,88","139,92","16,5","62,35","352,04","58,08","352,04","58,08"
hasan_S,континентальное,"3,4956","1,5984","0,4573","4,0425","3,3218","1,994","8,0759","3,5674","0,0309","4,7","8,07",2,"1079,77","23,4","-16,1","39,5","17,83","-10,16","17,83","-10,16","747,88","139,92","16,5","62,35","352,04","58,08","352,04","58,08"
hasan_S,континентальное,"2,8182","1,4152","0,5022","2,8854","3,5014","10,9765","6,6839","2,9165","-0,0242","4,7","8,07",2,"1079,77","23,4","-16,1","39,5","17,83","-10,16","17,83","-10,16","747,88","139,92","16,5","62,35","352,04","58,08","352,04","58,08"
hasan_S,континентальное,"3,0991","1,3364","0,4312","2,9307","4,5513","5,3698","7,0631","4,4559","0,0186","4,7","8,07",2,"1079,77","23,4","-16,1","39,5","17,83","-10,16","17,83","-10,16","747,88","139,92","16,5","62,35","352,04","58,08","352,04","58,08"
hasan_S,континентальное,"2,6696","1,197","0,4484","2,2162","6,9408","4,9168","6,0747","4,0845","0,0039","4,7","8,07",2,"1079,77","23,4","-16,1","39,5","17,83","-10,16","17,83","-10,16","747,88","139,92","16,5","62,35","352,04","58,08","352,04","58,08"
hasan_S,континентальное,"3,7441","1,6572","0,4426","4,4083","3,9062","6,3331","8,5938","4,1871","0,0335","4,7","8,07",2,"1079,77","23,4","-16,1","39,5","17,83","-10,16","17,83","-10,16","747,88","139,92","16,5","62,35","352,04","58,08","352,04","58,08"
